atom,resid,Average_charges_cost
CE1,terB,-0.2599457087
HE1,terB,0.1156481885
HE2,terB,0.1442975202
CD1,terB,-0.1132088293
HD1,terB,0.1132088293
CD2,terB,-0.0873004577
HD2,terB,0.1295409207
OD1,terB,-0.1861425209
CD3,terB,0.0508307974
CD4,terB,0.0508307974
CD5,terB,-0.0873004577
HD3,terB,0.1295409207
CA1,terB,0.6315334466
OA1,terB,-0.493124797
OA2,terB,-0.4242909942
CA2,terB,0.2858823446
CA3,terB,0.1878372663
NA1,terB,-0.7630172928
HA1,terB,0.2869126734
HA2,terB,0.2882673531
CB1,terB,0.6315334466
OB1,terB,-0.493124797
OB2,terB,-0.4242909942
CB2,terB,0.2858823446
CB3,terB,0.1878372663
NB1,terB,-0.7630172928
HB1,terB,0.2869126734
HB2,terB,0.2882673531
CD6,terB,-0.1132088293
HD4,terB,0.1132088293
CD1,OXO0,-0.1132088293
HD1,OXO0,0.1132088293
CD2,OXO0,-0.0873004577
HD2,OXO0,0.1295409207
OD1,OXO0,-0.1861425209
CD3,OXO0,0.0508307974
CD4,OXO0,0.0508307974
CD5,OXO0,-0.0873004577
HD3,OXO0,0.1295409207
CA1,OXO0,0.6315334466
OA1,OXO0,-0.493124797
OA2,OXO0,-0.4242909942
CA2,OXO0,0.2858823446
CA3,OXO0,0.1878372663
NA1,OXO0,-0.7630172928
HA1,OXO0,0.2869126734
HA2,OXO0,0.2882673531
CB1,OXO0,0.6315334466
OB1,OXO0,-0.493124797
OB2,OXO0,-0.4242909942
CB2,OXO0,0.2858823446
CB3,OXO0,0.1878372663
NB1,OXO0,-0.7630172928
HB1,OXO0,0.2869126734
HB2,OXO0,0.2882673531
CD6,OXO0,-0.1132088293
HD4,OXO0,0.1132088293
CC1,terA,-0.1816037802
HC1,terA,0.1199571944
CC2,terA,0.1350137811
CC3,terA,-0.2155034076
HC2,terA,0.1421362124
CC4,terA,-0.036729204
HC3,terA,0.0969203429
CC5,terA,-0.1961014253
HC4,terA,0.1359102863
CC6,terA,-0.1018388256
HC5,terA,0.1141676348
CC7,terA,-0.118122542
HC6,terA,0.1057937328
CD1,terA,-0.1132088293
HD1,terA,0.1132088293
CD2,terA,-0.0873004577
HD2,terA,0.1295409207
OD1,terA,-0.1861425209
CD3,terA,0.0508307974
CD4,terA,0.0508307974
CD5,terA,-0.0873004577
HD3,terA,0.1295409207
CA1,terA,0.6315334466
OA1,terA,-0.493124797
OA2,terA,-0.4242909942
CA2,terA,0.2858823446
CA3,terA,0.1878372663
NA1,terA,-0.7630172928
HA1,terA,0.2869126734
HA2,terA,0.2882673531
CB1,terA,0.6315334466
OB1,terA,-0.493124797
OB2,terA,-0.4242909942
CB2,terA,0.2858823446
CB3,terA,0.1878372663
NB1,terA,-0.7630172928
HB1,terA,0.2869126734
HB2,terA,0.2882673531
CD6,terA,-0.1132088293
HD4,terA,0.1132088293
