atom,resid,100ps,200ps,300ps,400ps,500ps,600ps,700ps,800ps,900ps,1000ps,Mean_100-1
CE1,terB,-1.30E-01,-1.27E-01,-1.46E-02,-2.37E-01,-9.94E-02,-6.64E-02,-8.29E-02,-2.91E-01,-4.99E-02,-3.51E-02,-0.1133425
HE1,terB,2.16E-02,7.46E-02,6.07E-02,1.28E-01,1.03E-01,2.46E-02,7.49E-02,5.97E-02,5.68E-02,5.16E-02,0.0655397
HE2,terB,2.69E-02,9.85E-02,5.52E-02,1.08E-01,9.21E-02,3.50E-02,6.00E-02,7.53E-02,5.67E-02,4.68E-02,0.0654756
CD1,terB,3.65E-03,-1.55E-01,-1.96E-01,-8.93E-02,-1.77E-01,-1.16E-01,-7.37E-02,1.47E-01,-1.63E-01,-1.22E-01,-0.0941934
HD1,terB,8.59E-02,1.28E-01,1.02E-01,9.02E-02,9.63E-02,9.31E-02,5.80E-02,2.33E-02,1.00E-01,7.79E-02,0.0855192
CD2,terB,4.54E-01,4.97E-01,4.44E-01,4.49E-01,4.22E-01,4.79E-01,4.36E-01,3.88E-01,4.25E-01,4.71E-01,0.4466012
HD2,terB,7.56E-02,2.53E-02,9.56E-02,9.43E-02,9.55E-02,9.32E-02,8.79E-02,1.12E-01,9.58E-02,4.01E-02,0.081494
OD1,terB,-1.01E+00,-9.76E-01,-9.77E-01,-1.01E+00,-9.89E-01,-1.02E+00,-1.01E+00,-9.71E-01,-9.90E-01,-9.90E-01,-0.9937649
CD3,terB,6.68E-02,6.24E-02,3.87E-02,4.71E-02,5.46E-02,1.09E-01,4.09E-02,1.92E-02,5.26E-02,8.60E-02,0.05772903
CD4,terB,8.57E-02,8.04E-02,7.89E-02,7.02E-02,2.96E-02,8.64E-02,8.43E-02,9.25E-02,5.35E-02,9.84E-02,0.07599394
CD5,terB,4.80E-01,4.46E-01,4.73E-01,4.39E-01,5.01E-01,4.30E-01,4.78E-01,4.90E-01,4.43E-01,4.26E-01,0.4605705
HD3,terB,8.14E-02,1.15E-01,9.69E-02,1.10E-01,4.02E-02,1.31E-01,7.51E-02,4.03E-02,8.59E-02,8.98E-02,0.0865978
CA1,terB,1.45E+00,1.49E+00,1.49E+00,1.49E+00,1.49E+00,1.45E+00,1.50E+00,1.50E+00,1.50E+00,1.47E+00,1.481981
OA1,terB,-1.10E+00,-1.09E+00,-1.11E+00,-1.09E+00,-1.09E+00,-1.07E+00,-1.13E+00,-1.12E+00,-1.11E+00,-1.13E+00,-1.1046145
OA2,terB,-1.03E+00,-1.05E+00,-1.06E+00,-1.03E+00,-1.04E+00,-1.04E+00,-1.03E+00,-1.04E+00,-1.04E+00,-1.03E+00,-1.0381906
CA2,terB,5.11E-01,5.25E-01,4.95E-01,5.31E-01,5.00E-01,5.23E-01,5.07E-01,5.53E-01,5.01E-01,5.16E-01,0.51621855
CA3,terB,3.88E-01,3.70E-01,4.02E-01,3.34E-01,3.95E-01,3.61E-01,3.92E-01,3.37E-01,3.95E-01,3.91E-01,0.37647816
NA1,terB,-1.09E+00,-1.08E+00,-1.08E+00,-1.11E+00,-1.11E+00,-1.07E+00,-1.12E+00,-1.01E+00,-1.15E+00,-1.11E+00,-1.0949761
HA1,terB,3.77E-01,3.58E-01,4.01E-01,4.20E-01,4.14E-01,3.85E-01,4.06E-01,3.38E-01,4.21E-01,3.86E-01,0.3905923
HA2,terB,3.84E-01,3.96E-01,3.54E-01,3.89E-01,3.67E-01,3.65E-01,3.76E-01,3.56E-01,4.04E-01,3.96E-01,0.3786804
CB1,terB,1.51E+00,1.48E+00,1.48E+00,1.48E+00,1.48E+00,1.42E+00,1.47E+00,1.50E+00,1.48E+00,1.46E+00,1.4762345
OB1,terB,-1.10E+00,-1.12E+00,-1.11E+00,-1.12E+00,-1.09E+00,-1.08E+00,-1.10E+00,-1.11E+00,-1.09E+00,-1.10E+00,-1.1018883
OB2,terB,-1.08E+00,-1.04E+00,-1.03E+00,-1.03E+00,-1.02E+00,-1.03E+00,-1.01E+00,-1.05E+00,-1.06E+00,-1.04E+00,-1.0386974
CB2,terB,5.41E-01,5.08E-01,5.30E-01,5.25E-01,4.17E-01,5.13E-01,4.82E-01,5.68E-01,5.17E-01,4.70E-01,0.50705145
CB3,terB,3.88E-01,4.08E-01,3.63E-01,3.56E-01,4.64E-01,3.80E-01,3.87E-01,3.31E-01,3.85E-01,4.32E-01,0.38933946
NB1,terB,-1.17E+00,-1.17E+00,-1.11E+00,-1.10E+00,-1.08E+00,-1.10E+00,-1.06E+00,-1.13E+00,-1.08E+00,-1.06E+00,-1.1065469
HB1,terB,3.98E-01,3.77E-01,3.88E-01,4.01E-01,3.35E-01,3.92E-01,4.16E-01,4.17E-01,4.00E-01,4.06E-01,0.3930131
HB2,terB,4.13E-01,4.42E-01,3.86E-01,3.84E-01,4.26E-01,3.79E-01,3.26E-01,3.90E-01,3.69E-01,3.27E-01,0.3841598
CD6,terB,-2.71E-02,-1.25E-01,-1.05E-01,-9.51E-02,-8.66E-02,-1.37E-01,-1.02E-01,-7.18E-02,-7.26E-02,-6.30E-02,-0.0885268
HD4,terB,7.17E-02,6.49E-02,8.57E-02,3.25E-02,8.03E-02,4.56E-02,5.31E-02,7.33E-02,7.28E-02,5.91E-02,0.0638919
CD1,OXO0,-6.57E-02,-4.33E-03,-7.04E-02,-4.38E-03,-1.61E-01,4.47E-02,-1.16E-01,-8.10E-02,-9.63E-02,-7.96E-02,-0.0634321
HD1,OXO0,4.37E-02,1.02E-02,6.14E-02,3.19E-02,9.49E-02,3.77E-02,1.37E-01,7.37E-02,1.14E-01,7.61E-02,0.0680598
CD2,OXO0,3.55E-01,4.33E-01,4.30E-01,3.85E-01,4.33E-01,3.75E-01,4.95E-01,4.23E-01,3.75E-01,3.79E-01,0.4083242
HD2,OXO0,1.31E-01,8.64E-02,1.16E-01,1.41E-01,1.66E-01,1.26E-01,3.58E-02,1.11E-01,1.32E-01,1.34E-01,0.117908
OD1,OXO0,-9.67E-01,-9.79E-01,-9.84E-01,-9.68E-01,-9.95E-01,-9.84E-01,-1.02E+00,-9.86E-01,-9.99E-01,-9.67E-01,-0.984665
CD3,OXO0,3.39E-02,6.33E-02,5.91E-02,6.72E-02,5.00E-02,1.80E-02,6.48E-02,3.39E-02,9.54E-02,9.11E-02,0.05765745
CD4,OXO0,8.30E-02,7.93E-02,8.96E-02,6.75E-02,7.59E-02,7.47E-02,4.29E-02,6.35E-02,8.10E-02,7.37E-02,0.07311824
CD5,OXO0,4.52E-01,4.58E-01,4.31E-01,4.37E-01,4.59E-01,3.87E-01,4.98E-01,4.46E-01,4.68E-01,4.24E-01,0.4459674
HD3,OXO0,4.11E-02,2.45E-02,7.42E-02,8.06E-02,2.78E-02,1.04E-01,7.76E-02,9.86E-02,9.37E-02,8.00E-02,0.0702606
CA1,OXO0,1.46E+00,1.48E+00,1.43E+00,1.49E+00,1.49E+00,1.46E+00,1.51E+00,1.50E+00,1.48E+00,1.53E+00,1.483715
OA1,OXO0,-1.11E+00,-1.07E+00,-1.11E+00,-1.11E+00,-1.09E+00,-1.10E+00,-1.10E+00,-1.13E+00,-1.12E+00,-1.13E+00,-1.1073358
OA2,OXO0,-1.03E+00,-1.08E+00,-1.04E+00,-1.02E+00,-1.05E+00,-1.04E+00,-1.05E+00,-1.02E+00,-1.03E+00,-1.07E+00,-1.0418295
CA2,OXO0,5.28E-01,4.98E-01,5.19E-01,5.25E-01,4.62E-01,5.21E-01,5.22E-01,5.13E-01,5.12E-01,5.37E-01,0.51352456
CA3,OXO0,3.81E-01,3.92E-01,3.74E-01,3.62E-01,4.21E-01,3.75E-01,3.55E-01,3.94E-01,3.89E-01,3.64E-01,0.38052267
NA1,OXO0,-1.07E+00,-1.10E+00,-1.11E+00,-1.06E+00,-1.12E+00,-1.06E+00,-1.06E+00,-1.06E+00,-1.08E+00,-1.07E+00,-1.079599
HA1,OXO0,3.40E-01,4.04E-01,4.04E-01,3.74E-01,4.00E-01,3.81E-01,3.85E-01,3.43E-01,3.91E-01,4.01E-01,0.382127
HA2,OXO0,3.90E-01,3.84E-01,3.88E-01,3.64E-01,3.92E-01,3.51E-01,3.67E-01,3.66E-01,3.47E-01,3.56E-01,0.370502
