atom,resid,100ps,200ps,300ps,400ps,500ps,600ps,700ps,800ps,900ps,1000ps,Mean_100-1
CE1,terB,-0.4525406784,-0.3332594718,-0.4383965912,-0.4801878457,-0.1291466552,-0.5235879802,-0.4361587407,-0.2641336295,-0.3195924398,-0.3966776279,-0.377368166
HE1,terB,0.1945514791,0.1676958411,0.1818632058,0.1981658491,0.1170845215,0.2383472108,0.1706477974,0.1161009829,0.1377390148,0.1752320129,0.1697427915
HE2,terB,0.1770983121,0.0987811378,0.1953010841,0.2041462425,0.0967594301,0.2148261857,0.2225792525,0.1450230192,0.1661492193,0.1554089852,0.1676072868
CD1,terB,-0.259578857,-0.1280684298,-0.2558463087,-0.2397580596,-0.5319322806,-0.1104104216,-0.2431255426,-0.5189742095,-0.4429276009,-0.1932195526,-0.2923841263
HD1,terB,0.1258334665,0.1216243976,0.1709580888,0.1468870827,0.2181596465,0.1289656986,0.2635975368,0.2345422676,0.1923141021,0.1269484363,0.1729830723
CD2,terB,0.5434464366,0.1559845387,0.3720519027,0.615642882,0.5372626808,0.1783198409,0.288719784,0.6257877347,0.6562241891,0.4856477622,0.4459087752
HD2,terB,-0.0169924501,0.0977765171,-0.0332812837,-0.0514515241,-0.0270438272,0.024492742,0.0499449296,-0.0364648814,-0.024955135,-0.0384239755,-0.0056398888
OD1,terB,-0.5389635695,-0.3569662022,-0.3681733152,-0.5422869844,-0.4331428516,-0.3910505954,-0.430802601,-0.5050317816,-0.5270660707,-0.5003267197,-0.4593810691
CD3,terB,0.1424099168,0.0322715653,0.2618366053,0.2287344581,0.2693003053,0.312497047,-0.0516169155,0.3741345559,0.026013714,0.0694327177,0.166501397
CD4,terB,0.0573799121,0.2908073288,0.0454487215,0.1010972723,-0.0047885392,-0.1021106861,0.2223047988,-0.0187125034,0.2007553692,0.108464151,0.0900645825
CD5,terB,0.199562,-0.2085036714,-0.0264100145,0.1611602408,0.0645009996,0.3363783349,0.1144055065,0.081937614,0.2749115368,0.2999843531,0.12979269
HD3,terB,0.1182174772,0.1889508092,0.139182098,0.1467414004,0.1337448027,0.0328740741,0.0474554863,0.0990160897,0.0138781775,0.0596421237,0.0979702539
CA1,terB,0.4655825798,0.623412305,0.6091840381,0.4701065745,0.4212157263,0.6361250416,0.3145156223,0.5036468858,0.2175557917,0.4550715297,0.4716416095
OA1,terB,-0.4674123918,-0.5069167106,-0.5082125029,-0.4662320069,-0.4643883077,-0.5149137487,-0.4424134269,-0.4719239728,-0.3669753932,-0.4639682435,-0.4673356705
OA2,terB,-0.4892824465,-0.6695646424,-0.5351621095,-0.5016536772,-0.4596190051,-0.5658339388,-0.2185728363,-0.4757179295,-0.1704714985,-0.5079535808,-0.4593831665
CA2,terB,0.3791948302,0.4875827015,0.4107551522,0.3754833204,0.4339965227,0.4098183916,0.2780620174,0.4139333989,0.221643979,0.403600283,0.3814070597
CA3,terB,0.3281040955,0.2378610582,0.2384433475,0.3471740172,0.2039938537,0.2451163987,0.164987789,0.2306695732,0.1150022767,0.2868638102,0.239821622
NA1,terB,-1.0190459736,-0.9695705223,-0.9318762508,-1.0187618851,-0.9127862897,-0.8804253027,-0.8111414926,-0.9650744302,-0.4908535209,-0.9509551702,-0.8950490838
HA1,terB,0.3440341441,0.3164799448,0.313986768,0.342780244,0.3656711784,0.2838378472,0.3326308833,0.3345969168,0.1604826834,0.3159226327,0.3110423243
HA2,terB,0.3748600852,0.3763035453,0.3631918087,0.3757686822,0.2966203854,0.3443286795,0.2837113673,0.3684627063,0.234872044,0.36442844,0.3382547744
CB1,terB,0.4311277244,0.6432294834,0.6804604341,0.2691651658,0.5504212248,0.5462831082,0.5290518791,0.2018641855,0.3279242362,0.4415983627,0.4621125804
OB1,terB,-0.4460605118,-0.5277827581,-0.5303292673,-0.4026717855,-0.4737948983,-0.4534170833,-0.4810189189,-0.3987657329,-0.4159568054,-0.453598668,-0.4583396429
OB2,terB,-0.3749794038,-0.5708946081,-0.6907985158,-0.5004526829,-0.6015308558,-0.5435870679,-0.3088348613,-0.4180646078,-0.2942496971,-0.3544719039,-0.4657864204
CB2,terB,0.2728668188,0.4258359027,0.3851694549,0.4465535428,0.4167135081,0.334342366,0.26113899,0.3948571501,0.2466687216,0.2214813692,0.3405627824
CB3,terB,0.1666208944,0.2322964525,0.2882172558,0.1954294519,0.2455807576,0.2034772293,0.1720842454,0.2490206702,0.1502093772,0.287485818,0.2190422152
NB1,terB,-0.7283152738,-0.9193904236,-0.9373773879,-0.9861122627,-0.9173023014,-0.8152455621,-0.8543981284,-0.9654687405,-0.5046781088,-0.8465932602,-0.8474881449
HB1,terB,0.3084327657,0.2920978877,0.3056196774,0.3849019016,0.3036582945,0.2883511664,0.3435429599,0.3348596132,0.2138600165,0.316569752,0.3091894035
HB2,terB,0.2504033374,0.3651556062,0.362050142,0.3438523663,0.3635527592,0.3358660424,0.3190494985,0.3702538656,0.2036971482,0.3134269785,0.3227307744
CD6,terB,-0.3461559425,-0.2008973299,-0.2290327339,-0.4651291201,-0.2906834017,-0.4238012021,-0.2291531426,-0.3497304471,-0.3932938226,-0.4223797996,-0.3350256942
HD4,terB,0.1821246222,0.1435166644,0.1542587897,0.1881232287,0.1704682177,0.188038839,0.1314344029,0.191043594,0.1693952645,0.1996856739,0.1718089297
CD1,OXO0,-0.2619853892,-0.3789364414,-0.3222747342,-0.2458308681,-0.3533946724,-0.2077339557,-0.2522001937,-0.2932272969,-0.1408395623,-0.3540011076,-0.2810424222
HD1,OXO0,0.1504706091,0.1303769566,0.1340193501,0.1299532341,0.1396551004,0.1200884926,0.1314531903,0.1174293659,0.1758877111,0.1942060486,0.1423540059
CD2,OXO0,0.4594846855,1.0853880496,0.5242023054,0.9859612309,0.742139616,0.5920516653,0.4492157575,1.0001291475,0.1720535601,0.6575722427,0.666819826
HD2,OXO0,0.0447715249,-0.1164767485,-0.0509876493,-0.1349746407,-0.0666865585,-0.0713587902,0.0025740019,-0.1153209703,0.0173592496,-0.0086585195,-0.0499759101
OD1,OXO0,-0.3828294547,-0.5953475768,-0.3884106975,-0.6348783539,-0.4488415199,-0.4348559446,-0.3762881015,-0.5955138053,-0.2551709025,-0.5332893843,-0.4645425741
CD3,OXO0,-0.2300820051,-0.2459035831,-0.0583917252,-0.0917160783,-0.1774870588,-0.1314817701,-0.2501111783,-0.210064984,0.1441953988,0.0003488485,-0.1250694136
CD4,OXO0,0.3023358527,0.1376334803,0.1188949021,0.0502106204,0.1064319362,-0.0301703367,0.3630701074,0.0146425247,0.1514056347,0.0196751313,0.1234129853
CD5,OXO0,0.224963592,0.1847774424,0.3198016603,0.4039500428,0.4727381189,0.2785206613,0.0136423513,0.2799179805,-0.0153965359,0.2332057747,0.2396121088
HD3,OXO0,0.0121262925,-0.0229926057,-0.0473640517,0.1096635605,-0.0795456548,-0.0426197502,0.0105789933,-0.0474983492,0.2204084073,0.1017693147,0.0214526157
CA1,OXO0,0.4098304291,0.6680186486,0.6897021363,0.3538740267,0.8170262123,0.7453791181,0.3694020971,0.5573871541,0.2843172447,0.5865535221,0.5481490589
